City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Plettenberg Bay,-34.0527,23.3716,16.76,69,52,0.43,ZA,1660059759
Teahupoo,-17.8333,-149.2667,19.98,67,100,1.78,PF,1660059760
Mandalgovi,45.7625,106.2708,23.93,34,10,2.25,MN,1660059762
Chapleau,47.8405,-83.4034,19.05,63,0,1.54,CA,1660059763
Preobrazheniye,42.9019,133.9064,18.31,85,0,3.83,RU,1660059546
Marsala,37.7966,12.4352,32.72,70,40,5.66,IT,1660059766
‘Āhuimanu,21.4447,-157.8378,25.84,80,75,5.66,US,1660059767
Kieta,-6.2167,155.6333,25.62,82,96,0.95,PG,1660059769
Maxixe,-23.8597,35.3472,23.9,64,20,4.12,MZ,1660059770
Monte Alegre de Sergipe,-10.0272,-37.5622,26.71,51,4,3.54,BR,1660059771
Lagos,6.5833,3.75,29.18,69,100,3.99,NG,1660059615
Jiujiang,29.7333,115.9833,30.81,55,100,1.11,CN,1660059774
Pio IX,-6.8375,-40.5792,32.85,21,0,2.02,BR,1660059775
Kahului,20.8947,-156.47,26.02,75,20,4.47,US,1660059778
Pangnirtung,66.1451,-65.7125,8.0,81,75,4.63,CA,1660059779
Saint-Augustin,51.226,-58.6502,20.23,44,100,4.6,CA,1660059783
Yangi Marg`ilon,40.4272,71.7189,32.4,20,10,4.12,UZ,1660059785
Babynino,54.39,35.73,19.86,80,79,3.3,RU,1660059786
Broome,42.2506,-75.833,22.46,85,100,4.12,US,1660059787
Shimoda,34.6667,138.95,26.72,92,100,6.16,JP,1660059789
Masallātah,32.6167,14.0,28.85,61,1,6.3,LY,1660059790
Tucumã,-0.1833,-50.05,31.36,53,49,3.1,BR,1660059792
Baracoa,20.3467,-74.4958,29.35,71,65,5.43,CU,1660059794
Kearney,40.6995,-99.0815,23.31,68,0,3.6,US,1660059799
Saldanha,-33.0117,17.9442,16.03,80,93,3.53,ZA,1660059805
Lafayette,30.2335,-92.0668,31.63,74,75,1.54,US,1660059807
Pacifica,37.6138,-122.4869,19.8,86,75,4.63,US,1660059809
Dalianwan,39.0286,121.695,18.02,88,0,2.0,CN,1660059810
Rosetta,31.4044,30.4164,27.36,70,0,5.02,EG,1660059811
San Felipe,10.3399,-68.7425,29.38,70,93,0.53,VE,1660059813
Shar,49.5886,81.0453,20.54,58,10,3.06,KZ,1660059814
Almaznyy,48.0448,40.045,29.94,21,0,3.67,RU,1660059815
Sirte,31.2089,16.5887,29.41,66,0,5.54,LY,1660059817
Urubichá,-15.3833,-62.95,23.51,47,70,4.22,BO,1660059818
Norman Wells,65.282,-126.8329,14.02,82,75,1.03,CA,1660059821
Labuhan,-6.8844,112.2051,25.56,82,44,3.17,ID,1660059822
Awjilah,29.1081,21.2869,36.14,22,0,5.84,LY,1660059823
Sumbe,-11.2061,13.8437,21.97,78,12,3.35,AO,1660059825
Lüderitz,-26.6481,15.1594,16.22,65,0,4.75,NA,1660059826
Bethel,41.3712,-73.414,34.36,62,0,5.14,US,1660059827
Vila Velha,-20.3297,-40.2925,24.97,79,75,5.14,BR,1660059748
Marsabit,2.3284,37.9899,22.55,40,92,8.05,KE,1660059830
Naples,40.8333,14.25,27.56,100,75,8.75,IT,1660059670
Stephenville,32.2207,-98.2023,33.2,49,0,3.09,US,1660059683
Saint Anthony,45.0205,-93.218,24.4,66,0,4.12,US,1660059834
Baykit,61.67,96.37,15.0,86,100,1.31,RU,1660059835
Rockland,41.1668,-74.0496,35.61,56,27,1.34,US,1660059836
Praia,14.9215,-23.5087,29.3,74,40,6.17,CV,1660059493
Miracema do Tocantins,-9.5618,-48.3967,37.45,19,25,2.45,BR,1660059839
Taoudenni,22.6783,-3.9836,47.45,7,12,7.86,ML,1660059840
Balkanabat,39.5108,54.3671,33.9,26,70,1.32,TM,1660059842
Talnakh,69.4865,88.3972,13.45,91,56,1.59,RU,1660059843
Toropets,56.4978,31.6353,17.77,71,68,2.12,RU,1660059844
Calvinia,-31.4707,19.776,17.42,26,47,4.22,ZA,1660059846
Paris,48.8534,2.3488,32.51,30,0,5.66,FR,1660059720
San Ramon,37.7799,-121.978,19.77,80,100,4.12,US,1660059849
Grand-Santi,4.25,-54.3833,33.49,42,89,2.18,GF,1660059851
Carnarvon,-24.8667,113.6333,16.4,58,84,7.95,AU,1660059852
Yārāda,17.65,83.2667,27.18,78,75,5.14,IN,1660059853
Santa Rosalía,27.3167,-112.2833,31.08,52,70,0.36,MX,1660059855
Aranos,-24.1333,19.1167,22.56,12,4,1.57,NA,1660059856
São Filipe,14.8961,-24.4956,26.67,80,100,2.19,CV,1660059858
Zhezkazgan,47.8043,67.7144,22.08,38,94,3.76,KZ,1660059859
Xining,36.6167,101.7667,18.9,94,100,1.84,CN,1660059769
Hasaki,35.7333,140.8333,28.22,88,100,11.17,JP,1660059862
Lorengau,-2.0226,147.2712,27.08,80,90,3.39,PG,1660059863
Yen Bai,21.7,104.8667,25.67,92,53,1.19,VN,1660059864
Menongue,-14.6585,17.691,28.75,8,0,3.84,AO,1660059866
Saskylakh,71.9167,114.0833,10.66,88,5,3.88,RU,1660059867
Makkah al Mukarramah,21.4267,39.8261,36.06,39,94,2.64,SA,1660059868
Charter Township of Clinton,42.587,-82.9199,24.41,69,30,0.45,US,1660059575
Bandarbeyla,9.4942,50.8122,25.55,76,100,13.78,SO,1660059871
Baripāda,21.935,86.7214,26.29,92,100,1.49,IN,1660059872
Evensk,61.95,159.2333,12.46,70,8,1.94,RU,1660059874
La Libertad,-2.2333,-80.9,20.81,94,100,5.66,EC,1660059875
Key West,24.5557,-81.7826,29.0,89,40,6.69,US,1660059742
Ciampino,41.8016,12.6066,26.17,73,40,3.6,IT,1660059879
Sakakah,29.9697,40.2064,43.76,14,0,4.61,SA,1660059880
Codrington,-38.2667,141.9667,4.94,83,95,4.04,AU,1660059882
Constitución,-35.3333,-72.4167,13.33,47,98,1.38,CL,1660059705
Purpe,64.4803,76.6897,18.14,48,68,8.04,RU,1660059884
Wanlaweyn,2.6185,44.8938,25.89,66,86,9.53,SO,1660059886
Jurm,36.8648,70.8342,21.84,39,2,1.56,AF,1660059887
Coquimbo,-29.9533,-71.3436,15.85,51,0,1.03,CL,1660059888
Hebi,35.8992,114.1925,19.35,85,98,3.43,CN,1660059890
Siano,40.8016,14.6936,30.17,62,65,0.89,IT,1660059891
Port Shepstone,-30.7414,30.455,18.72,77,66,1.04,ZA,1660059893
Kenmare,51.8833,-9.5833,23.13,48,13,0.93,IE,1660059894
Khasan,42.4308,130.6434,19.15,82,0,2.42,RU,1660059895
Vélingara,13.15,-14.1167,29.81,71,95,2.21,SN,1660059897
Roebourne,-20.7833,117.1333,20.53,28,99,8.98,AU,1660059898
Aklavik,68.2191,-135.0107,14.56,65,91,2.02,CA,1660059900
Nambour,-26.6333,152.95,11.59,87,2,1.57,AU,1660059902
Katubao,5.8892,124.8294,26.16,80,96,1.38,PH,1660059903
Rabo de Peixe,37.8,-25.5833,22.73,73,75,3.6,PT,1660059905
Te Anau,-45.4167,167.7167,-2.92,92,30,0.2,NZ,1660059906
Tongren,27.7172,109.1853,27.32,70,35,0.25,CN,1660059909
Choszczno,53.169,15.4205,23.12,41,92,4.41,PL,1660059910
Tarakan,3.3,117.6333,25.72,89,100,1.54,ID,1660059913
Jalingo,8.8833,11.3667,28.01,76,96,1.7,NG,1660059914
Were Īlu,10.6,39.4333,13.48,88,100,0.37,ET,1660059925
Gannan,47.9147,123.5031,18.54,43,41,3.94,CN,1660059926
Biu,10.6129,12.1946,26.63,65,99,2.1,NG,1660059928
Idrinskoye,54.3708,92.1358,15.44,80,56,2.36,RU,1660059829
Daru,-9.0763,143.2092,24.72,85,34,8.27,PG,1660059930
Irpa Irpa,-17.7167,-66.2667,21.0,26,24,2.42,BO,1660059933
Dunedin,-45.8742,170.5036,2.67,63,6,1.79,NZ,1660059934
Beamsville,43.1668,-79.4829,21.62,75,92,3.6,CA,1660059935
Ulladulla,-35.35,150.4667,8.29,89,34,3.75,AU,1660059937
Nova Olinda do Norte,-3.8881,-59.0942,36.84,32,11,2.28,BR,1660059938
Alta Floresta,-9.8756,-56.0861,33.9,52,0,2.57,BR,1660059940
Pangody,65.85,74.4859,16.01,59,18,3.13,RU,1660059942
Kovūr,14.4833,79.9833,30.91,50,100,7.76,IN,1660059943
Brae,60.3964,-1.353,15.2,89,100,11.76,GB,1660059945
Labytnangi,66.6572,66.4183,13.84,58,51,4.95,RU,1660059946
Kushima,31.4583,131.2333,26.64,89,97,0.87,JP,1660059951
Mehamn,71.0357,27.8492,13.97,82,40,7.72,NO,1660059909
‘Ewa Beach,21.3156,-158.0072,25.97,73,0,5.66,US,1660059954
Esmeralda,21.8525,-78.1169,30.99,63,99,7.11,CU,1660059956
Quelimane,-17.8786,36.8883,24.97,73,0,7.2,MZ,1660059957
Sawtell,-30.3833,153.1,11.01,71,30,4.12,AU,1660059958
San Quintín,30.4833,-115.95,23.8,71,23,2.96,MX,1660059960
Tiksi,71.6872,128.8694,11.46,74,50,5.29,RU,1660059961
Flin Flon,54.7682,-101.865,15.91,67,40,5.66,CA,1660059963
Marshall,34.3834,-86.3333,30.77,69,0,1.79,US,1660059964
Watsa,3.0372,29.5355,20.51,93,42,1.09,CD,1660059965
Half Moon Bay,37.4636,-122.4286,19.9,81,100,5.14,US,1660059815
Nova Serrana,-19.8761,-44.9836,29.94,30,42,1.66,BR,1660059968
Paamiut,61.994,-49.6678,5.44,94,99,5.75,GL,1660059969
Beringovskiy,63.05,179.3167,7.3,81,5,4.78,RU,1660059971
Mrakovo,52.7161,56.6244,20.04,82,83,2.34,RU,1660059975
Koforidua,6.0941,-0.2591,26.04,69,100,3.04,GH,1660059977
Oussouye,12.485,-16.5469,30.1,77,98,4.78,SN,1660059978
Anagni,41.7447,13.1527,21.93,85,75,2.57,IT,1660059980
Hastings,50.8552,0.5729,26.82,40,48,7.68,GB,1660059981
Takaka,-40.85,172.8,8.64,80,48,1.69,NZ,1660059982
Matata,-37.8833,176.75,11.03,81,100,4.35,NZ,1660059984
Mölnlycke,57.6589,12.1179,21.08,66,0,4.12,SE,1660059985
Chapais,49.7834,-74.8492,18.88,43,0,1.05,CA,1660059986
Manaure,11.7751,-72.4445,32.7,51,0,10.15,CO,1660059988
Rayong,12.8333,101.4333,28.38,99,98,0.95,TH,1660059990
Marsh Harbour,26.5412,-77.0636,29.1,72,3,7.14,BS,1660059992
Villamontes,-21.25,-63.5,14.69,55,100,7.72,BO,1660059996
Kirakira,-10.4544,161.9205,25.49,81,91,1.57,SB,1660059998
Honiara,-9.4333,159.95,24.46,86,100,1.35,SB,1660060000
Yining,29.0361,114.5636,26.92,70,100,1.15,CN,1660060001
Kibuye,-2.0597,29.3482,21.65,49,63,0.72,RW,1660060003
Karasburg,-28.0167,18.75,22.56,10,0,3.34,NA,1660060004
Chabahar,25.2919,60.643,28.24,81,37,2.34,IR,1660060005
Agirish,61.9247,63.0231,19.1,47,29,2.25,RU,1660060007
Bilma,18.6853,12.9164,39.38,21,2,1.6,NE,1660060008
Nūzvīd,16.7833,80.85,26.47,80,100,5.35,IN,1660060009
Guía de Isora,28.2115,-16.7795,28.51,100,0,2.21,ES,1660060011
Walvis Bay,-22.9575,14.5053,17.53,63,11,3.09,NA,1660060012
Shenjiamen,29.9576,122.298,27.51,84,93,9.47,CN,1660060013
Porto Santo,33.072,-16.3415,25.21,61,20,6.69,PT,1660059767
La Guardia,-17.8917,-63.3305,17.5,68,75,11.32,BO,1660060016
Queanbeyan,-35.35,149.2333,3.99,93,9,3.09,AU,1660060018
Ancud,-41.8697,-73.8203,8.46,70,100,1.33,CL,1660060023
Comodoro Rivadavia,-45.8667,-67.5,10.92,40,0,7.72,AR,1660060024
Tombouctou,20.0,-3.0,43.19,13,50,6.35,ML,1660060025
Iberia,29.9502,-91.7507,31.14,66,75,0.0,US,1660060027
Arrifes,37.7667,-25.7,22.14,73,75,3.6,PT,1660060028
Gouyave,12.1646,-61.7296,29.43,79,40,7.2,GD,1660060029
Roseburg,43.2165,-123.3417,19.73,77,100,2.06,US,1660060031
Schwechat,48.1333,16.4667,29.75,33,0,7.15,AT,1660060032
Jiayuguan City,39.8167,98.3,23.68,56,16,0.69,CN,1660060033
Shwebo,22.5667,95.7,26.28,78,91,5.1,MM,1660060035
Teknāf,20.8624,92.3058,26.27,89,100,6.25,BD,1660060037
Black River,18.0264,-77.8487,32.43,55,96,3.28,JM,1660060040
Vao,-22.6667,167.4833,19.75,57,29,6.16,NC,1660060041
Aswān,24.0934,32.907,42.61,14,0,5.66,EG,1660060043
Luwuk,-0.9516,122.7875,24.25,91,69,2.18,ID,1660060044
Ascension,30.2169,-90.9001,31.14,73,40,0.0,US,1660060045
Belgrade,44.804,20.4651,29.02,54,0,7.2,RS,1660059903
Kaabong,3.4836,34.1492,20.56,71,100,1.13,UG,1660060048
Bengkulu,-3.8004,102.2655,24.67,90,100,3.18,ID,1660060049
Sheridan,44.8333,-106.9173,31.37,41,0,0.45,US,1660059944
Hirado,33.3597,129.5531,27.44,86,98,4.27,JP,1660060052
Berlevåg,70.8578,29.0864,14.89,82,100,5.66,NO,1660060054
Camacha,33.0833,-16.3333,23.68,61,20,6.69,PT,1660060056
Taunggyi,20.7833,97.0333,16.45,97,49,1.82,MM,1660060057
Tabou,4.423,-7.3528,25.78,68,34,5.06,CI,1660060059
Tamiahua,21.2667,-97.45,29.02,64,98,1.46,MX,1660060060
Mucurapo,10.6667,-61.5333,30.03,71,52,2.46,TT,1660060061
Qandala,11.472,49.8728,31.92,54,99,3.2,SO,1660060063
Caibarién,22.5206,-79.4669,30.62,77,100,8.28,CU,1660060064
Kismayo,-0.3582,42.5454,24.23,82,92,8.36,SO,1660060065
Farafangana,-22.8167,47.8333,20.07,84,11,3.43,MG,1660060067
Gamba,-2.65,10.0,23.52,73,5,4.54,GA,1660060068
Natick,42.2834,-71.3495,35.44,57,20,3.6,US,1660060070
Santiago del Estero,-27.7951,-64.2615,15.17,39,3,4.77,AR,1660059772
Bara,10.3744,10.7288,30.05,59,91,3.23,NG,1660059475
Korla,41.7597,86.1469,33.32,20,6,2.63,CN,1660060073
Tabuk,17.4189,121.4443,24.52,91,100,0.88,PH,1660060075
Ocumare del Tuy,10.1165,-66.7761,31.22,63,89,0.61,VE,1660059935
Grindavik,63.8424,-22.4338,12.72,94,100,9.26,IS,1660060077
Denison,33.7557,-96.5367,33.93,52,0,4.63,US,1660060078
Arica,-18.475,-70.3042,15.75,77,100,2.06,CL,1660060080
Shakawe,-18.3667,21.85,26.77,11,0,2.57,BW,1660060081
Avera,33.194,-82.5271,29.75,51,10,3.16,US,1660060083
Belmonte,-15.8631,-38.8828,26.33,56,13,3.72,BR,1660060084
Leningradskiy,69.3833,178.4167,6.8,62,100,3.0,RU,1660060090
Petropavlovsk-Kamchatskiy,53.0452,158.6483,12.33,100,100,5.0,RU,1660060092
Ampanihy,-24.7,44.75,22.81,39,0,4.7,MG,1660060093
Pekalongan,-6.8886,109.6753,23.34,80,9,2.07,ID,1660060094
Pala,9.3642,14.9046,30.42,60,67,1.26,TD,1660060096
Puerto Suárez,-18.95,-57.8,21.2,78,75,5.14,BO,1660060097
Haines Junction,60.7522,-137.5108,2.97,100,99,0.51,CA,1660060100
Orlik,52.5178,99.825,12.66,91,99,1.28,RU,1660060101
Piaçabuçu,-10.4056,-36.4344,26.36,60,25,3.84,BR,1660060102
Baker City,44.7749,-117.8344,16.84,59,40,0.0,US,1660059979
Aksarka,66.5606,67.7975,15.53,51,80,5.55,RU,1660060105
Bonthe,7.5264,-12.505,26.35,80,94,5.22,SL,1660060106
Rundu,-17.9333,19.7667,27.65,11,0,2.59,NA,1660060108
Kibala,9.1104,18.3463,32.97,55,20,1.54,TD,1660060109
Pangoa,-12.1167,-73.0,29.38,50,25,1.36,PE,1660060110
Wajid,3.8093,43.2471,30.57,32,81,7.6,SO,1660060112
Dongkan,33.9997,119.8308,27.24,93,84,2.72,CN,1660060113
Kapoeta,4.7717,33.5903,28.43,49,97,2.23,SS,1660060116
Tazovsky,67.4667,78.7,11.34,74,12,4.7,RU,1660060122
Lisala,2.15,21.5167,28.97,58,44,1.18,CD,1660060123
Tortolì,39.9256,9.6572,29.15,54,62,1.67,IT,1660060125
Zelenoborsk,61.4669,64.0333,20.24,50,18,2.61,RU,1660060126
Churāchāndpur,24.3333,93.6667,19.93,98,29,1.05,IN,1660060012
Abhā,18.2164,42.5053,21.9,64,40,5.14,SA,1660060129
Ilulissat,69.2167,-51.1,4.01,100,100,5.66,GL,1660060130
Shaki,41.0833,47.1667,27.71,46,33,2.64,AZ,1660060131
Pisco,-13.7,-76.2167,15.57,88,100,1.54,PE,1660059885
Leiyang,26.4024,112.8591,27.41,65,20,2.08,CN,1660060134
Burg,51.8333,14.15,28.21,37,79,2.98,DE,1660060135
Thinadhoo,0.5333,72.9333,28.0,70,78,1.81,MV,1660060131
College,64.8569,-147.8028,4.97,87,75,2.06,US,1660060138
Mineiros,-17.5694,-52.5511,21.02,67,100,0.78,BR,1660060139
Ranfurly,-45.1333,170.1,-2.32,81,5,1.51,NZ,1660060140
Mahanoro,-19.9,48.8,19.82,83,7,1.79,MG,1660060142
Taywarah,33.35,64.4167,18.61,28,0,3.93,AF,1660060143
Hokitika,-42.7167,170.9667,2.92,70,9,2.69,NZ,1660060144
Atikokan,48.7555,-91.6216,25.23,41,1,6.62,CA,1660060149
Terenos,-20.4422,-54.8603,15.84,100,75,9.26,BR,1660060152
Marawi,7.9986,124.2928,19.75,97,100,1.56,PH,1660060158
Broken Hill,-31.95,141.4333,8.68,55,76,4.51,AU,1660060050
Kasongo-Lunda,-6.4667,16.8167,34.91,16,2,2.49,CD,1660060161
Khorramshahr,30.4397,48.1664,47.98,9,0,7.2,IR,1660060162
Senanga,-16.1167,23.2667,26.63,12,0,2.67,ZM,1660060164
Port Hedland,-20.3167,118.5667,19.03,37,100,2.57,AU,1660060165
Tautira,-17.7333,-149.15,23.48,67,100,2.28,PF,1660060166
Barra de Tecoanapa,16.5167,-98.75,29.02,65,94,0.87,MX,1660060168
Bismarck,46.8083,-100.7837,25.48,60,0,2.57,US,1660060169
Laguna,38.421,-121.4238,21.63,74,0,3.09,US,1660060170
Bolotnoye,55.6717,84.3981,16.64,76,1,4.15,RU,1660060172
Jamālpur,24.9167,89.9333,27.41,79,44,6.19,BD,1660060173
San Fernando del Valle de Catamarca,-28.4696,-65.7852,14.32,42,3,0.89,AR,1660060174
Bekwai,6.4534,-1.5774,27.4,64,100,1.75,GH,1660060176
Kutum,14.2,24.6667,23.25,68,90,8.07,SD,1660060179
Chino Valley,34.7575,-112.4538,25.29,76,57,0.54,US,1660059853
Gomel,52.4345,30.9754,22.99,46,0,6.0,BY,1660060028
Gandu,-13.7439,-39.4867,29.05,37,44,2.54,BR,1660060183
Jati,24.3539,68.2671,29.51,80,78,5.98,PK,1660060184
Port Augusta,-32.5,137.7667,14.64,38,100,8.49,AU,1660060186
Pareora,-44.4871,171.2132,1.77,88,9,2.8,NZ,1660060187
Nome,64.5011,-165.4064,7.04,66,100,5.14,US,1660060188
Sarangani,5.4033,125.4636,27.43,72,94,0.6,PH,1660060190
Tromsø,69.6496,18.957,14.1,71,75,8.23,NO,1660060191
Merauke,-8.4667,140.3333,24.24,86,96,6.09,ID,1660060195
Nāndgaon,20.3167,74.65,24.23,86,100,6.05,IN,1660060196
Tiarei,-17.5333,-149.3333,23.01,66,100,2.26,PF,1660060198
Garoowe,8.4054,48.4845,29.9,36,97,8.9,SO,1660060199
Zhigansk,66.7697,123.3711,12.71,73,11,3.83,RU,1660060201
Harboøre,56.6175,8.1807,21.77,74,97,3.88,DK,1660060202
Kambove,-10.8764,26.5969,22.12,24,4,1.68,CD,1660060203
Murnau,48.2302,12.2943,26.54,46,0,3.77,DE,1660060205
Porbandar,21.6422,69.6093,27.99,94,100,6.17,IN,1660060206
Emerald,-23.5333,148.1667,8.52,67,0,4.97,AU,1660060207
Margate,51.3813,1.3862,24.06,71,80,2.68,GB,1660060176
Kaeo,-35.1,173.7833,9.62,96,59,2.12,NZ,1660060210
Olafsvik,64.8945,-23.7142,11.11,97,100,4.96,IS,1660060211
Potiskum,11.7091,11.0694,32.44,39,15,2.01,NG,1660060213
Maralal,1.0968,36.698,19.02,64,100,1.6,KE,1660060214
Dwārka,22.2394,68.9678,28.7,84,100,6.87,IN,1660060215
Sonkovo,57.7782,37.1571,18.11,62,33,2.95,RU,1660060217
Isiro,2.7739,27.616,23.96,77,99,0.21,CD,1660060218
